,Pclass,Age,Parch,Fare,relatives,sex_female,sex_male,alone_No,alone_Yes,emb_C,emb_Q,emb_S,deck_0,deck_1,deck_2,deck_3,deck_4,deck_5,deck_6,deck_7,deck_8
0,3,22,0,7,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,38,0,71,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2,3,26,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
3,1,35,0,53,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
4,3,35,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
5,3,39,0,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
6,1,54,0,51,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
7,3,2,1,21,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8,3,27,2,11,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
9,2,14,0,30,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
10,3,4,1,16,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
11,1,58,0,26,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
12,3,20,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
13,3,39,5,31,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
14,3,14,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
15,2,55,0,16,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
16,3,2,1,29,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
17,2,41,0,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
18,3,31,0,18,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
19,3,23,0,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
20,2,35,0,26,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
